,speech
0,"(11:47 horas): Buenas tardes. Honorable asamblea, ruego a todos ustedes tomar sus lugares."
1,"Señoras diputadas federales electas, señores diputados federales electos, de conformidad con lo dispuesto en el artículo 14 de la Ley Orgánica del Congreso General de los Estados Unidos Mexicanos, y a efecto de la realización de esta sesión, entre el 20 y el 28 de agosto se registraron ante la Secretaría General de esta soberanía 499 diputadas y diputados electos."
2," Quiero antes ofrecer una disculpa por la tardanza de 45 minutos para el inicio de esta sesión, debido a que el Grupo Parlamentario del Partido Acción Nacional se encontraba en reunión."
3,Con el permiso de la Presidencia y bienvenidos todos nuestros compañeros legisladores.
4," Agregue en la lista, por favor, al diputado Muñoz Ledo. Tenemos 499 presentes. El diputado Aguilar está enfermo y ese es el motivo por el cual no pudo asistir a esta sesión."
5, Proceda la Secretaría a dar lectura del orden del día. Por favor.
6," Con gusto, presidente."
7," Protesto guardar y hacer guardar la Constitución Política de los Estados Unidos Mexicanos y las leyes que de ella emanen, y desempeñar leal y patrióticamente el cargo de diputado a la LIV Legislatura de la Cámara de Diputados del Congreso de la Unión que el pueblo me ha conferido, así como la responsabilidad de presidente de la Mesa de Decanos, mirando en todo por el bien y prosperidad de la Unión. Si así no lo
hago, que la nación me lo demande."
8," Manténganse de pie, por favor. Se procederá entonces a la toma de protesta de las y los integrantes de la Cámara."
9," Sí, protesto."
10," Si no lo hacen así, que la nación se los demande. Felicidades. Sírvanse tomar asiento."
11," Vamos a continuar con el desarrollo de esta sesión. Se va a proceder a la elección de la Mesa Directiva del primer año legislativo. Se solicita a la Secretaría que le dé lectura al acuerdo de los grupos parlamentarios, a través del cual se postula a las diputadas y diputados que habrán de integrar la Mesa Directiva de la Cámara para el primer año de esta LXIV Legislatura. Por favor, proceda."
12, Acuerdo.
13," Gracias, diputada secretaria. Se va a proceder entonces a la votación del acuerdo que se ha leído y, por lo tanto, la elección de la Mesa Directiva. Se invita entonces a las diputadas y a los diputados, a que pasen a depositar su cédula tan luego como vayan escuchando su nombre. Y les suplico de la manera más atenta que se mantenga despejado la parte frontal de la tribuna de la misma Cámara. Secretario, proceda por favor."
14, Con el permiso de la Presidencia y por instrucciones de la misma.
15," Señor presidente, el resultado del escrutinio es el siguiente. Se emitieron un total de 499 votos que corresponde al total de asistentes, de los cuales 496 fueron a favor y únicamente tres votos en contra. Es cuanto."
16," Por 496 votos, se declara que han sido elegidos para integrar la Mesa Directiva de la Cámara de Diputados para el primer año del ejercicio de la LXIV Legislatura los siguientes diputados y diputadas."
17," Se invita a las diputadas y a los diputados electos a ponerse de pie, si son tan amables."
18," Protesto guardar y hacer guardar la Constitución Política de los Estados Unidos Mexicanos y las leyes que de ella emanen, y desempeñar leal y patrióticamente el cargo de presidente de la Mesa Directiva durante el primer año de ejercicio de la sexagésima cuarta legislatura de la Cámara de Diputados del Congreso de la Unión, que ustedes me han conferido, mirando en todo por el bien y la prosperidad de la Unión, y si así no lo hago,
que la nación me lo demande."
19," Vicepresidentes, diputada María de los Dolores Padierna Luna, diputado Marco Antonio Adame Castillo, diputada Dulce María Sauri Riancho. Secretarios y secretarias, diputada Karla Yuritzi Almazán Burgos, diputada Mariana Dunyaska García Rojas, diputada Sara Rocha Medina, diputado Héctor René Cruz Aparicio, diputada Ana Gabriela Guevara Espinoza, diputada Carmen Julieta Macías Rábago, diputada Lilia Villafuerte Zavala,
diputada Lyndiana Elizabeth Bugarín Cortés. Deseo subrayar el hecho histórico de que 9 de los 12 integrantes de la Mesa Directiva son mujeres."
20," Sí, protesto."
21," Si no lo hacen así, que la nación se los demande."
22," Hoy 29 de agosto de 2018, la Cámara de Diputados del Congreso de los Estados Unidos Mexicanos, correspondiente a la LXIV Legislatura, se declara legalmente constituida para el desempeño de sus funciones."
23," Se invita a los presentes a permanecer de pie, para entonar el Himno Nacional."
24, Viva México.
25," Cito para el 1 de septiembre a sesión de Congreso General, a la apertura del primer periodo de sesiones ordinarias del primer año del ejercicio de la LXIV Legislatura, a las diecisiete horas en punto."
26,(14:07 horas): Se levanta la sesión.
27,
28, Pido a la Secretaría de la Honorable Cámara de Senadores haga del conocimiento de esta Presidencia el resultado del registro de asistencia de senadoras y senadores.
29," Con base en el registro y cómputo de asistencia, están presentes 87 ciudadanas senadoras y senadores."
30," Se informa a la Presidencia que existen registrados 401 diputados, con la asistencia previa del diputado Porfirio Muñoz Ledo. Hay quórum de Congreso General."
31,(17:00 horas): Se abre la sesión del Congreso General.
32, Se invita a los presentes a ponerse de pie.
33,"El Congreso General de los Estados Unidos Mexicanos abre hoy, primero de septiembre de 2018, el primer periodo de sesiones ordinarias del primer año de ejercicio de la LXIV Legislatura."
34,Se pide a los presentes permanecer de pie.
35,Se va a proceder a entonar el Himno Nacional.
36, Viva México.
37, Pueden tomar asiento.
38,"(17:04 horas): Se reanuda la sesión. Proceda la Secretaría... Perdón. Invito al senador Martí Batres Guadarrama, presidente de la Mesa Directiva de la Cámara de Senadores, a que me acompañe a recibir el Sexto Informe de Gobierno del presidente de la República, Enrique Peña Nieto, que será entregado por Alfonso Navarrete Prida, secretario de Gobernación. Se declara un receso."
39,(17:29 horas): Se reanuda la sesión. Les vamos a pedir a los legisladores y legisladoras ocupar sus asientos.
40,(desde la curul): Presidente.
41," ¿Dígame, ciudadano diputado? Ahora voy a reanudar, y si hay alguna intervención indispensable podrá hacerse después."
42,"(desde la curul): Una moción de orden, diputado presidente."
43," Es cuando abra la sesión. No estamos en sesión, diputado."
44,"(desde la curul): Espero a que abra la sesión, diputado presidente."
45, Proceda la Secretaría a dar lectura al oficio del Ejecutivo federal por el que remite el Sexto Informe de Gobierno.
46," Presidente del Honorable Congreso de la Unión, presente."
47,"Gracias. El Congreso de la Unión declara formalmente cumplida la obligación del presidente de la República, a que se refiere el párrafo primero del artículo 69 de la Constitución Política de los Estados Unidos Mexicanos."
48,(desde la curul): Con el tema que está usted abordando en este momento...
49,"No estoy abordando un tema, señor diputado. Estoy dando un turno. Si usted me permite, que hablen los grupos parlamentarios y yo le doy la voz con mucho gusto."
50,"(desde la curul): Diputado presidente, sólo estoy pidiendo una moción de orden con fundamento en el artículo 114, fracción I, y 115 el Reglamento, y con fundamento en el artículo 69 constitucional sobre el informe presidencial. Es justo sobre eso que quiero hacer la moción de orden, diputado presidente."
51," En este momento habrá, por la agenda convenida por los grupos parlamentarios de ambas Cámaras, el mensaje del presidente del Congreso y de los grupos parlamentarios. En su momento me permitiré ofrecerle la palabra. Muchas gracias."
52,"(desde la curul): Señor presidente, le estoy pidiendo la palabra para una moción."
53,"¿Qué moción, señor diputado? No es un discurso, ¿qué moción?"
54,"(desde la curul): No, diputado presidente, la moción es muy puntual. El informe se entrega a esta soberanía, según el artículo 69 constitucional."
55," Así es, así es."
56,"(desde la curul): Lo único que yo quiero pedirle, diputado presidente, es que mañana el presidente de la República, Enrique Peña Nieto, hace una reunión en Palacio Nacional, y le llama informe. Eso es una ofensa a esta soberanía porque el informe es a esta representación del pueblo."
57, Su moción será transmitida por los conductos debidos.
58,(desde la curul): Presidente.
59,Senador Emilio Álvarez Icaza.
60,"(desde la curul): Señor presidente, buenas tardes."
61,"Buenas tardes, senador."
62,"(desde la curul): El día de ayer formalmente solicitamos a la Mesa Directiva de la Cámara de Diputados y a la Mesa Directiva de la Cámara de Senadores hacer uso de la palabra en representación de los legisladores independientes del Congreso de la Unión. Se entregó formalmente la solicitud, y nos parece que hay un precedente ya donde en el Congreso de la Unión se le permitió el uso de la palabra al senador Manuel Clouthier."
63," Señor senador: he recibido sus llamadas telefónicas, conozco sus argumentos. Hemos consultado con los servicios jurídicos de ambas Cámaras. Usted no es propiamente un senador independiente, sino un senador sin partido, ya que..."
64,(desde la curul): Señor presidente...
65," Permítame, no vamos a abrir un debate ahora porque está previsto el protocolo de este día. Vamos a escuchar peticiones concretas, entonces permítame, no he terminado."
66,(desde la curul): Presidente.
67," A ver, Óscar González Yáñez, senador de la República."
68,"(desde la curul): Se le agradece, presidente, la intención. La registro para el futuro."
69," Muchas gracias, la recibo. Quiero aclarar que esta no es una sesión de debate, ni de deliberación. Cada una de las Cámaras del Congreso tiene las suyas. Este es un acto de cumplimiento de un mandato de la Constitución Política de los Estados Unidos Mexicanos y de la Ley Orgánica del Congreso de la Unión."
70," (desde la curul): Presidente, le voy a dar mi consideración."
71,"Ya expliqué de qué tipo de sesión se trata, señor diputado."
72, (desde la curul): Quiero dar una opinión sobre su opinión.
73,"Sí, señor, no es una sesión ordinaria del Congreso. No es una sesión de Cámara, ya escuché su opinión. Le ruego respeto, como se lo he tenido."
74, (desde la curul): Si me da la palabra.
75,"Bueno, está convirtiendo usted en una sesión de debate una sesión ceremonial de ambas Cámaras, porque hemos tenido muchos vicios de los cuáles voy a hablar. Ya escuché su opinión, señor diputado. No es sesión deliberativa."
76," (desde la curul): No se deje que le secuestren la asamblea, presidente."
77," En el lenguaje contemporáneo no se llama secuestro, se llama plagio. Con lo cual, los oradores hablan por fuera de curso."
78,"(desde la curul): Presidente, mire. Yo que soy más moderno que usted no le voy a plagiar la asamblea, mucho menos se la voy a secuestrar. Nuestra intención es ayudarle y ayudarle al conjunto de la asamblea."
79," No, gracias. De veras se lo agradezco, pero no crea que lo necesito tanto."
80,"(desde la curul): Bueno, está bien."
81, Voy a iniciar la sesión de debate. Por favor ya habló usted.
82,(desde la curul): No le he dicho nada.
83, ¿Qué me quiere decir?
84,"(desde la curul): A ver, mire. Precisamente por lo que usted dice, este pleno de Congreso General puede acordar que haga uso de la palabra cualquier legislador por encima de cualquier acuerdo de la Jucopo."
85," Perdóneme, con todo respeto, la conducción de esta sesión es constitucionalmente función exclusiva del presidente del Congreso. Le agradezco la ayuda que quiere brindarme por nuestra antigua amistad, pero le ruego que respete el curso de esta sesión."
86," Subrayo en esta ocasión la palabra honorable, porque pretendemos que el Poder Legislativo sea motivo de honor, y no de vergüenza, para nuestros compatriotas. Agradezco la presencia en este recinto del consejero presidente del Instituto Nacional Electoral y de la magistrada presidenta del Tribunal Electoral del Poder Judicial de la Federación."
87," El siguiente punto del orden del día es la intervención de un legislador a nombre de su grupo parlamentario, para referirse a la apertura del primer periodo de sesiones ordinarias, hasta por quince minutos."
88," Tiene la palabra el diputado Carlos Alberto Puente Salas, del Grupo Parlamentario del Partido Verde Ecologista de México, hasta por quince minutos."
89,"Con la venia de la Presidencia. Muy buenas tardes, honorable asamblea, compañeras y compañeros legisladores, saludo con gusto a las y los amigos que nos siguen a través de los diversos medios de comunicación, a través del Congreso, a través del Internet y de las diversas redes sociales, a todas y todos ustedes."
90," Señoras y señores legisladores, demando respeto a los oradores. Demando respeto a los oradores."
91,"Muchas gracias, presidente. Incluso en los días con grandes nubarrones, en los que tuvo que tomar decisiones difíciles o impopulares, actuó como un verdadero jefe de Estado. Sí, actuó como un verdadero jefe de Estado y en las pasadas elecciones reconfirmó que es un hombre de Estado, institucional y con una profunda convicción democrática."
92," Tiene el uso de la palabra el diputado José Ricardo Gallardo Carmona, del Grupo Parlamentario del Partido de la Revolución Democrática."
93,"Con su venia, diputado presidente. Honorable Congreso de la Unión, legisladoras y legisladores, mexicanas y mexicanos, hoy, con la instalación de este nuevo Congreso General empieza la renovación de gobierno que los ciudadanos eligieron el primero de julio pasado"
94," Tiene la palabra el señor senador Dante Delgado Rannauro, del Grupo Parlamentario Movimiento Ciudadano."
95,"Señor presidente, señoras y señores, México ya decidió, México ya decidió y decidió por un cambio."
96," Ruego a la asamblea mantenga el orden. No olviden la vieja frase: No estoy de acuerdo con lo que dices, pero estoy dispuesto a dar la vida para que lo digas."
97, ...A esta nueva mayoría de Morena también le decimos: aquí están nuestros votos para eliminar el fuero.
98," Ruego a las señoras y señores legisladores que permitan el uso de la palabra al orador. La libertad de expresión es un derecho constitucional, con más razón tratándose de un legislador de la República. ¿Qué es lo que desean?"
99, Como oposición hemos dicho y hecho lo que pensamos y no nos hemos retractado cuando los ciudadanos nos han dado la confianza de representarlos
100,"Señor orador, por favor abrevie, si es usted tan amable."
101," Presidente, me permitan concluir."
102," Compañeros legisladores, si desean ustedes que termine el discurso del orador, déjenlo concluir, por favor."
103," Gracias, presidente. Gracias, presidente. Como oposición hemos promovido reformas para combatir la violencia de género y el feminicidio, una agenda integral e incesante en materia de derechos humanos, la gran deuda histórica que deja la actual administración. Detuvimos el pase automático del fiscal carnal y no renunciaremos a tener una Fiscalía que sirva y sea plenamente autónoma."
104," Señor senador, se le ha agotado el tiempo y se han contado las intervenciones. Concluya, por favor."
105,"Lo haré, presidente. En Movimiento Ciudadano hemos enfrentado al poder y hemos demostrado que la responsabilidad del legislador no implica servilismo. Por eso fuimos la única fuerza política que no firmó el Pacto por México y votó en contra de todas y cada una de sus reformas."
106," Señor senador, ha terminado su tiempo. Por favor."
107," Movimiento Ciudadano será una oposición a todo lo que impida el cambio que México necesita, una oposición de acciones, hechos y trabajo. Una oposición que sea parte del cambio, que contribuya a que el cambio suceda. Una oposición que empuje y presione para que el gobierno cumpla y que denuncie cuando no lo haga. Una oposición que enfrentará cada una de las incongruencias, inconsistencias y malas decisiones del gobierno."
108," Señor senador, ha acabado su tiempo."
109," Movimiento Ciudadano seguirá siendo la oposición que este país necesita, porque ser oposición es amar a México. Que viva México."
110, Hay insistencias parlamentarias que son obviamente contraproducentes.
111," Toca el turno al Partido del Trabajo. Momento. La ley establece que hará uso de la palabra un legislador federal por cada uno de los partidos políticos que concurran representados en el Congreso. Hemos recibido, esta Mesa Directiva ha recibido, sin embargo, la solicitud del Partido del Trabajo para otorgar tres minutos del tiempo que legalmente le corresponde para su intervención al senador Emilio Álvarez Icaza, que tomará
la palabra al final de la intervención de los grupos parlamentarios, por única ocasión y sin que constituya precedente."
112," Con el permiso de la Presidencia. Hermanas y hermanos mexicanos, compañeras y compañeros legisladores, el pasado primero de julio se cristalizó en las urnas el lema fundacional del Partido del Trabajo: unidad nacional, todo el poder al pueblo."
113, Han terminado los 12 minutos. Son 12 minutos y 3.
114," ...en el Grupo Parlamentario del Partido del Trabajo nos comprometemos a impulsar políticas públicas e inclusivas con enfoque intercultural crítico, que ponga fin a la discriminación, colonización y racialización que sufren históricamente nuestros pueblos."
115," Tiene el uso de la palabra, el senador Emilio Álvarez Icaza, hasta por tres minutos."
116,"(desde la curul): Señor presidente, antes que inicie su intervención. Es grave el precedente."
117, Ya di la palabra al señor orador. Permite que termine el orador.
118," Los integrantes de la iniciativa ahora, hemos llegado al Congreso de la Unión."
119,(desde la curul): Presidente.
120," Deje hablar al orador que ya está en tribuna. ¿Por qué no? Es la misma intervención del PT, no ha terminado. Eso fue lo decidido por la Mesa. Le ruego haga uso de la palabra en su ocasión."
121," Los integrantes de la iniciativa ahora, hemos llegado al Congreso de la Unión, como una organización de personas libres que han decidido no pertenecer a los grupos parlamentarios de los actuales partidos políticos, porque nos es indispensable mantener nuestra autonomía, independencia y nuestra identidad. Así lo hicimos saber y lo firmamos públicamente con las fuerzas que conformaron la Coalición por México al Frente y también lo dijimos al
presidente electo, Andrés Manuel López Obrador, cuando nos invitó a formar parte del proyecto."
122,"(desde la curul): Señor presidente, le solicito la palabra."
123,El señor diputado Antonio Ortega Martínez. ¿En qué puedo obsequiar su petición?
124,"(desde la curul): Que me dé primero audio, porque creo..."
125, Ya lo tiene.
126,"(desde la curul): Señor presidente, desde luego no íbamos a oponernos a la intervención del senador Álvarez Icaza..."
127,Pero sí a posteriori.
128,"(desde la curul): Pero usted cometió un error. La ley y la norma no se interpretan, presidente, se aplican. Menos una ley se acomoda a una cortesía o a una concesión. Usted acaba de actuar como lo que condenó en su discurso inicial, la arbitrariedad y la aplicación a modo de la regla, es inaceptable de cualquier autoridad, incluso la suya."
129," Señor diputado, creo que el respeto que usted me tenía era demasiado frágil."
130," Tiene el uso de la palabra la senadora Sasil de León Villard, del Grupo Parlamentario del Partido Encuentro Social, hasta por 15 minutos."
131,"Muy buenas tardes al pueblo de México. Señoras y señores legisladores integrantes de la honorable LXIV Legislatura del Congreso de la Unión, desde esta tribuna quiero hacer un amplio reconocimiento a todas y todos los héroes desconocidos de este país, luchadores y luchadoras sociales que han permitido con su valentía que hoy la cuarta transformación de México sea una realidad."
132," Tiene el uso de la palabra la senadora Claudia Ruiz Massieu, del Grupo Parlamentario del Partido Revolucionario Institucional, hasta por 15 minutos."
133," Gracias, diputado presidente. Honorable Congreso de la Unión, ciudadanas y ciudadanos que nos escuchan. Compañeras y compañeros legisladores, hoy todos nosotros, representantes populares, estamos ante un desafío: definir cómo vamos a honrar el mandato ciudadano que recibimos el primero de julio."
134, El respeto a los oradores es parte fundamental de la madurez política del país.
135,"Gracias, presidente. Los priistas no somos mercenarios de la política, que cambian de lealtades, de proyecto e incluso de ideología tan pronto como el poder cambia de manos. Nosotros..."
136," Dejen, por favor, señoras y señores legisladores, concluir a la oradora, porque tendremos que compensarle el tiempo de interrupción."
137," El Congreso de la Unión es la tribuna más alta de la República. Aquí se construye país para todos. Con respeto, con respeto y ánimo constructivo quiero decirles que la agenda progresista que impulsamos durante décadas desde la fuerza política que represento, y en la administración del presidente Enrique Peña Nieto, que ustedes rechazaron y criticaron como oposición, les va a servir de andamiaje cuando asuman la enorme responsabilidad de ser
gobierno."
138,Dejen por favor terminar a la oradora. No la interrumpan.
139,"Con la reforma educativa ya logramos lo más difícil, recuperar la rectoría del Estado sobre la educación pública. Ahora busquemos juntos, ahora busquemos juntos puntos de encuentro para mejorarla, para que todos los protagonistas del sistema educativo se sientan parte de ella."
140,"Moción de orden. Hemos trascendido una época electoral. Estamos en la hora de la reconstrucción nacional, no de una democracia colérica."
141,"Más allá de la fuerza política que detenta el gobierno y de las diferencias que podamos tener, le debemos un reconocimiento al esfuerzo de los millones de servidores públicos que en todos los niveles trabajan con honradez, patriotismo y entrega."
142," Tiene el uso de la palabra el diputado Juan Carlos Romero Hicks, del Grupo Parlamentario del Partido Acción Nacional, hasta por 15 minutos."
143," Mexicanas y mexicanos, compañeras y compañeros legisladores, distinguidos invitados que nos acompañan. Acción Nacional asiste hoy a la inauguración de los trabajos de la LXIV Legislatura, con la convicción de que no es esta una época de cambios, sino un cambio de época. La época de la izquierda en el poder, la época de la virtual materialización de sus convicciones y del sueño de patria que a través de largas e intensas luchas dieron por mucho
tiempo."
144," Tiene el uso de la palabra el diputado Mario Delgado Carrillo, del Grupo Parlamentario de Morena, hasta por 15 minutos."
145," Con su venia, presidente. Compañeras y compañeros legisladores. Señoras y señores. Esta sesión se trata de revisar el último gobierno de la administración del presidente Peña. Pero más allá de las cifras y de los datos que contenga este informe, yo me quedo con el balance que hizo la sociedad de esta administración el primero de julio, logrando al presidente más votado de la historia, Andrés Manuel López Obrador."
146," Consulte la Secretaría a esta asamblea, en votación económica, si el acta de la presente sesión se tiene por aprobada, tomando en consideración las observaciones que en su caso hagan llegar los grupos parlamentarios."
147," Así es, señor presidente. En votación económica consultamos a la asamblea si el acta de la presente sesión se tiene por leída y se aprueba, tomando en consideración las observaciones que, en su caso, hagan llegar los grupos parlamentarios. Las legisladoras y los legisladores que estén por la afirmativa sírvanse manifestarlo (votación), gracias. Los legisladores y las legisladoras que estén por la negativa sírvanse manifestarlo
(votación)."
148," Está aprobada, hasta donde veo, por unanimidad."
149,"(20:00 horas): Se levanta la sesión de Congreso General. Cito a las diputadas y diputados a la primera sesión ordinaria el martes 4 de septiembre, a las 11 horas en punto."
150,
151, Pido a la Secretaría haga del conocimiento de esta Presidencia el resultado del cómputo de asistencia de diputadas y diputados.
152," Con gusto, presidente. Se informa a la Presidencia que con la asistencia del diputado presidente Porfirio Muñoz Ledo, existen registrados 347 diputados y diputadas, por lo tanto, hay quórum, presidente."
153,"(11:13 horas): Se abre la sesión. Ruego a las diputadas y diputados que tomen sus asientos. Se abre la sesión a las 11 y 13 minutos. Esperamos que la próxima sesión lo hagamos a la hora en punto, como indica la ley."
154," Consulte la Secretaría a la asamblea si se dispensa la lectura al orden del día, en virtud de que se encuentra publicado en la Gaceta Parlamentaria."
